,gene,baseMean,fold,lfcSE,stat,pvalue,padj,DEG,HARs.Intron,HARs.Flanking,HARs.FlankingandIntron,HARs.Intron.Simp,HARs.Flanking.Simp,HARs.FlankingandIntron.Simp,hCONDELs.Intron,hCONDELs.Flanking,hCONDELs.FlankingandIntron,hCONDELs.Intron.Simp,hCONDELs.Flanking.Simp,hCONDELs.FlankingandIntron.Simp,HARorhCONDEL,HARandhCONDEL,condition,family,group,genegroup
255,CTNNA3,33.08798057,-3.464925396,0.727361525,-4.763690787,1.90E-06,0.000727387,TRUE,"HARsv2_0265,HARsv2_0266",NA,"HARsv2_0265,HARsv2_0266",TRUE,FALSE,TRUE,"355,356",NA,"355,356",TRUE,FALSE,TRUE,TRUE,TRUE,Endo1,Catenin,A,B
256,CTNNA3,89.24184836,-4.400174671,0.810413741,-5.429541045,5.65E-08,2.45E-05,TRUE,"HARsv2_0265,HARsv2_0266",NA,"HARsv2_0265,HARsv2_0266",TRUE,FALSE,TRUE,"355,356",NA,"355,356",TRUE,FALSE,TRUE,TRUE,TRUE,Astro1,Catenin,A,B
257,CTNNA3,38.80795441,-2.330852403,0.572085078,-4.074310785,4.62E-05,0.001596456,TRUE,"HARsv2_0265,HARsv2_0266",NA,"HARsv2_0265,HARsv2_0266",TRUE,FALSE,TRUE,"355,356",NA,"355,356",TRUE,FALSE,TRUE,TRUE,TRUE,Sst1,Catenin,B,B
258,CTNNA3,126.5887203,-1.927777835,0.391884197,-4.919253827,8.69E-07,0.000103681,TRUE,"HARsv2_0265,HARsv2_0266",NA,"HARsv2_0265,HARsv2_0266",TRUE,FALSE,TRUE,"355,356",NA,"355,356",TRUE,FALSE,TRUE,TRUE,TRUE,Vip8,Catenin,C,B
259,CTNNA3,125.6506504,-2.446706888,0.652306339,-3.750855608,0.000176232,0.005574587,TRUE,"HARsv2_0265,HARsv2_0266",NA,"HARsv2_0265,HARsv2_0266",TRUE,FALSE,TRUE,"355,356",NA,"355,356",TRUE,FALSE,TRUE,TRUE,TRUE,Vip1,Catenin,C,B
260,CTNND1,41.66358634,-8.412658618,0.955985748,-8.7999833,1.37E-18,8.06E-16,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L5IT2,Catenin,B,B
261,CTNND1,12.71387638,-5.847390048,1.07588127,-5.434977086,5.48E-08,6.26E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Endo1,Catenin,A,B
262,CTNND1,44.52755627,-8.553960031,0.959979691,-8.910563539,5.08E-19,5.68E-16,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L4IT1,Catenin,A,B
263,CTNND1,15.6001949,-6.92908296,0.957440666,-7.237088632,4.58E-13,1.89E-10,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Lamp51,Catenin,B,B
264,CTNND1,32.72856268,-8.042133008,0.935350034,-8.597992959,8.11E-18,4.88E-15,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L23IT3,Catenin,A,B
265,CTNND1,12.67714241,-6.442980514,0.976627869,-6.597170444,4.19E-11,1.32E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip1,Catenin,C,B
266,CTNND1,13.15995631,-6.041509577,0.977281942,-6.181951509,6.33E-10,2.33E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sncg3,Catenin,B,B
267,CTNND1,14.00765477,-7.00430229,0.96038069,-7.293256064,3.03E-13,1.17E-10,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst2,Catenin,B,B
268,CTNND1,6.329239748,-5.845429282,0.960263226,-6.087319734,1.15E-09,4.82E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,SstChodl1,Catenin,B,B
269,CTNND1,18.48623085,-7.802263734,0.963943596,-8.094108166,5.77E-16,3.02E-13,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L56NP1,Catenin,A,B
270,CTNND1,16.719621,-6.957083311,0.955452711,-7.281452272,3.30E-13,1.30E-10,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pvalb4,Catenin,B,B
271,CTNND1,15.94173337,-6.734157023,0.983314673,-6.848425238,7.47E-12,3.38E-09,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip5,Catenin,C,B
272,CTNND1,11.23203021,-6.407238229,0.998793993,-6.414974731,1.41E-10,5.03E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip3,Catenin,C,B
273,CTNND1,25.3797596,-8.602200556,0.954503197,-9.012228122,2.02E-19,4.86E-16,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L5ET2,Catenin,B,B
274,CTNND1,28.68217432,-7.973781767,0.975899532,-8.170699451,3.07E-16,1.39E-13,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6ITCar31,Catenin,B,B
275,CTNND1,76.33692964,-9.164737472,0.975378565,-9.396082507,5.66E-21,6.98E-18,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L23IT2,Catenin,A,B
276,CTNND1,8.902156197,-6.036024206,0.992611236,-6.080954948,1.19E-09,3.23E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip4,Catenin,C,B
277,CTNND1,7.704599565,-5.335788806,0.990656018,-5.386116585,7.20E-08,2.35E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst6,Catenin,B,B
278,CTNND1,5.998505137,-5.199217878,1.088795467,-4.77520162,1.80E-06,0.000402911,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sncg1,Catenin,B,B
279,CTNND1,8.924203671,-4.424836603,0.929664936,-4.759603631,1.94E-06,0.000625681,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,OPC2,Catenin,B,B
280,CTNND1,18.16760522,-7.401656516,0.958940691,-7.718575906,1.18E-14,3.94E-12,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6CT1,Catenin,B,B
281,CTNND1,10.81969327,-6.427508281,0.954521816,-6.73374686,1.65E-11,4.49E-09,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst3,Catenin,B,B
282,CTNND1,15.86538123,-6.877910071,0.978209049,-7.031124969,2.05E-12,5.70E-10,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Chandelier1,Catenin,A,B
283,CTNND1,12.50116929,-7.048827562,1.009122788,-6.985103938,2.85E-12,6.98E-10,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pvalb3,Catenin,B,B
284,CTNND1,45.13067625,-8.304740719,0.982705439,-8.450895241,2.89E-17,1.37E-14,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6ITCar32,Catenin,B,B
285,CTNND1,4.238688438,-5.453708709,1.160844535,-4.698052619,2.63E-06,0.000917629,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,VLMC1,Catenin,C,B
286,CTNND1,16.13466595,-6.973543108,0.941687912,-7.405365427,1.31E-13,9.87E-11,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L5ET1,Catenin,B,B
287,CTNND1,9.335845264,-5.651713556,1.096466003,-5.154481346,2.54E-07,6.88E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pax62,Catenin,B,B
288,CTNND1,11.16090762,-6.10429659,0.981215073,-6.22116064,4.93E-10,1.34E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip8,Catenin,C,B
289,CTNND1,14.61982578,-6.012147482,1.131835057,-5.311858335,1.09E-07,4.24E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Astro1,Catenin,A,B
290,CTNND1,5.096452853,-6.702158357,0.986999542,-6.790437151,1.12E-11,4.27E-09,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst1,Catenin,B,B
291,CTNND1,14.2356329,-6.927561047,1.016567354,-6.814660163,9.45E-12,2.69E-09,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip2,Catenin,C,B
292,CTNND1,18.58091342,-7.520095367,0.960722425,-7.827542242,4.97E-15,2.73E-12,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6b2,Catenin,B,B
293,CTNND1,11.32340194,-6.775153276,0.961555382,-7.046035415,1.84E-12,5.80E-10,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pvalb2,Catenin,B,B
294,CTNND1,9.376823127,-5.455119656,1.001165764,-5.448767678,5.07E-08,1.20E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip6,Catenin,C,B
295,CTNND1,54.55408122,-8.811222692,0.961894142,-9.160283139,5.18E-20,5.80E-17,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L5IT1,Catenin,B,B
296,CTNND1,13.08444099,-6.829860903,0.988843037,-6.906921169,4.95E-12,1.52E-09,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Lamp5Lhx61,Catenin,B,B
297,CTNND1,9.864040576,-6.47951331,0.994265936,-6.516881527,7.18E-11,1.96E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst9,Catenin,B,B
298,CTNND1,5.247408627,-6.13611983,0.975628398,-6.289402648,3.19E-10,9.92E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6b1,Catenin,B,B
299,CTNND1,65.11833187,-8.986270839,0.935853782,-9.602216729,7.82E-22,1.10E-18,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L23IT1,Catenin,A,B
300,CTNND1,14.30827822,-6.870909151,0.968782257,-7.092315225,1.32E-12,3.95E-10,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst8,Catenin,B,B
301,CTNND1,18.39705758,-5.919171305,1.025430409,-5.772377389,7.82E-09,6.32E-06,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,MicroPVM1,Catenin,B,B
302,CTNND1,11.80155732,-5.733471745,1.077763059,-5.319788701,1.04E-07,2.08E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sncg2,Catenin,B,B
303,CTNND1,48.45430125,-8.671494228,0.970514852,-8.934942323,4.07E-19,3.15E-16,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6IT1,Catenin,B,B
304,CTNND1,7.333948392,-6.619695026,0.967516258,-6.841947067,7.81E-12,2.55E-09,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pvalb1,Catenin,B,B
305,CTNND1,9.612575136,-6.310518498,0.958205931,-6.585764387,4.53E-11,1.39E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst4,Catenin,B,B
306,CTNND1,9.835849379,-6.82066262,1.006595232,-6.775973503,1.24E-11,4.35E-09,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6CT2,Catenin,B,B
307,CTNND1,11.97655941,-7.453776499,1.008984434,-7.387404849,1.50E-13,3.05E-11,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L56NP2,Catenin,A,B
308,CTNND1,17.08455229,-6.487097593,0.947455466,-6.846862805,7.55E-12,3.59E-09,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pax61,Catenin,B,B
309,CTNND1,11.41430824,-6.355748284,0.970304588,-6.55026098,5.74E-11,2.09E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst5,Catenin,B,B
310,CTNND1,11.19780268,-5.597702161,0.972982117,-5.753139821,8.76E-09,1.75E-06,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip7,Catenin,C,B
311,CTNND1,12.16000057,-5.849802222,0.98249792,-5.954009777,2.62E-09,7.44E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Lamp52,Catenin,B,B
312,CTNND1,30.62709619,-7.973681,0.951838591,-8.377135659,5.42E-17,3.43E-14,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L4IT2,Catenin,A,B
313,CTNND1,9.220288591,-6.463882332,0.991930859,-6.516464604,7.20E-11,2.98E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6b3,Catenin,B,B
314,CTNND1,12.16602268,-6.239211661,0.977565277,-6.382399014,1.74E-10,5.81E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst7,Catenin,B,B
315,CTNND2,29.60591064,-2.530453892,0.563902099,-4.48739931,7.21E-06,0.001346289,TRUE,HARsv2_2221,NA,HARsv2_2221,TRUE,FALSE,TRUE,194,NA,194,TRUE,FALSE,TRUE,TRUE,TRUE,MicroPVM1,Catenin,B,B
316,CTNND2,885.5487082,0.609507298,0.16179982,3.767045587,0.000165191,0.006824329,TRUE,HARsv2_2221,NA,HARsv2_2221,TRUE,FALSE,TRUE,194,NA,194,TRUE,FALSE,TRUE,TRUE,TRUE,L6b1,Catenin,B,B
317,CXADR,52.25369541,0.870073588,0.199908214,4.352365376,1.35E-05,0.000504174,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Chandelier1,IgCAM CXADR-related protein,A,B
318,CXADR,67.20822467,0.651376099,0.184114769,3.537880759,0.000403352,0.007442693,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L5IT1,IgCAM CXADR-related protein,B,B
319,CXADR,13.96497445,1.227682568,0.240033926,5.114621032,3.14E-07,2.88E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst1,IgCAM CXADR-related protein,B,B
320,DCC,371.5539176,-1.465815401,0.394886897,-3.71198794,0.000205638,0.007209949,TRUE,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",NA,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",TRUE,FALSE,TRUE,827,"533,534","533,534,827",TRUE,TRUE,TRUE,TRUE,TRUE,Vip8,IgSF DCC subclass,C,B
321,DCC,48.06116532,-2.911259089,0.620955669,-4.688352539,2.75E-06,0.000313654,TRUE,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",NA,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",TRUE,FALSE,TRUE,827,"533,534","533,534,827",TRUE,TRUE,TRUE,TRUE,TRUE,SstChodl1,IgSF DCC subclass,B,B
322,DCC,53.52433294,-4.367040941,1.047077385,-4.170695502,3.04E-05,0.003462501,TRUE,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",NA,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",TRUE,FALSE,TRUE,827,"533,534","533,534,827",TRUE,TRUE,TRUE,TRUE,TRUE,MicroPVM1,IgSF DCC subclass,B,B
323,DCC,262.6597632,-1.235195312,0.336777813,-3.667686124,0.000244755,0.007454358,TRUE,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",NA,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",TRUE,FALSE,TRUE,827,"533,534","533,534,827",TRUE,TRUE,TRUE,TRUE,TRUE,Vip5,IgSF DCC subclass,C,B
324,DCC,83.8052855,-2.129112241,0.470857614,-4.521775109,6.13E-06,0.000466838,TRUE,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",NA,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",TRUE,FALSE,TRUE,827,"533,534","533,534,827",TRUE,TRUE,TRUE,TRUE,TRUE,Vip4,IgSF DCC subclass,C,B
325,DCC,79.89102107,-2.86318675,0.718275271,-3.986197029,6.71E-05,0.002459288,TRUE,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",NA,"HARsv2_1238,HARsv2_1239,HARsv2_1240,HARsv2_1241",TRUE,FALSE,TRUE,827,"533,534","533,534,827",TRUE,TRUE,TRUE,TRUE,TRUE,Vip2,IgSF DCC subclass,C,B
326,DSCAM,288.404606,-1.882579359,0.258737996,-7.276006557,3.44E-13,1.86E-10,TRUE,HARsv2_1721,NA,HARsv2_1721,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst4,Ig like cell adhesion molecule family,B,B
327,DSCAM,159.9774173,-2.224830447,0.419555946,-5.302821867,1.14E-07,1.19E-05,TRUE,HARsv2_1721,NA,HARsv2_1721,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst3,Ig like cell adhesion molecule family,B,B
328,DSCAM,22.54366328,2.632972581,0.504306172,5.220980288,1.78E-07,8.64E-05,TRUE,HARsv2_1721,NA,HARsv2_1721,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,MicroPVM1,Ig like cell adhesion molecule family,B,B
329,DSCAML1,117.7437104,-0.845998517,0.22017857,-3.842329049,0.000121872,0.006607657,TRUE,HARsv2_0446,NA,HARsv2_0446,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Vip6,Ig like cell adhesion molecule family,C,B
330,DSCAML1,125.1140287,-1.358521343,0.334323334,-4.06349544,4.83E-05,0.002284339,TRUE,HARsv2_0446,NA,HARsv2_0446,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Vip5,Ig like cell adhesion molecule family,C,B
331,DSCAML1,131.7830154,-0.877769897,0.224507601,-3.909755812,9.24E-05,0.003348898,TRUE,HARsv2_0446,NA,HARsv2_0446,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Vip3,Ig like cell adhesion molecule family,C,B
332,DSCAML1,180.6019771,-1.225331528,0.247594121,-4.948952429,7.46E-07,8.70E-05,TRUE,HARsv2_0446,NA,HARsv2_0446,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Vip7,Ig like cell adhesion molecule family,C,B
333,EFNA5,61.85791346,0.631741644,0.171598136,3.681518103,0.000231849,0.006919249,TRUE,"HARsv2_2301,HARsv2_2302,HARsv2_2303","HARsv2_2299,HARsv2_2300","HARsv2_2299,HARsv2_2300,HARsv2_2301,HARsv2_2302,HARsv2_2303",TRUE,TRUE,TRUE,NA,1061,1061,FALSE,TRUE,TRUE,TRUE,TRUE,Pvalb1,Ephrin,B,B
334,EFNB2,12.56721813,1.392624628,0.304237225,4.577430096,4.71E-06,0.000227115,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pvalb3,Ephrin,B,B
335,EFNB2,20.47452548,1.023150059,0.244579335,4.183305433,2.87E-05,0.001193916,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pvalb4,Ephrin,B,B
336,ELFN1,11.95838566,-1.246330548,0.254243111,-4.902121215,9.48E-07,6.96E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst1,ELFN,B,B
337,ELFN2,5.803766639,2.939306729,0.802836287,3.661153311,0.000251082,0.004820222,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6ITCar31,ELFN,B,B
338,ELFN2,11.31807949,2.531474982,0.71974117,3.517201862,0.000436122,0.009861506,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L23IT1,ELFN,A,B
339,ELFN2,19.0679749,2.811252233,0.8059915,3.487942778,0.000486752,0.007507935,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6CT1,ELFN,B,B
340,ELFN2,8.11286885,2.945110904,0.760884311,3.870642173,0.000108549,0.001965317,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L56NP2,ELFN,A,B
341,ELFN2,1.993301778,2.417218207,0.600664829,4.024237958,5.72E-05,0.001908114,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst1,ELFN,B,B
342,ELFN2,16.45167071,2.551952826,0.680730099,3.748846763,0.00017765,0.004323468,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L23IT3,ELFN,A,B
343,ELFN2,13.54247538,3.409322551,0.883788689,3.857621843,0.000114496,0.004669017,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip7,ELFN,C,B
344,ELFN2,6.816464806,3.548292444,0.559647765,6.340224451,2.29E-10,4.21E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L4IT1,ELFN,A,B
345,ELFN2,11.60073912,2.478686662,0.697150184,3.555455796,0.000377324,0.006626759,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6ITCar32,ELFN,B,B
346,EMB,43.54293553,1.032918086,0.273472452,3.777046202,0.000158699,0.003695512,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L5IT2,Basigin,B,B
347,EMB,18.62603303,1.450037584,0.408587661,3.548902041,0.000386841,0.008532505,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L4IT2,Basigin,A,B
348,EMB,8.898841025,1.106221802,0.301543715,3.668528797,0.00024395,0.00589289,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst1,Basigin,B,B
349,EMB,13.51330063,1.764774197,0.278313679,6.340953862,2.28E-10,4.70E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip2,Basigin,C,B
350,EMB,27.70240237,1.5183989,0.247935695,6.124164159,9.12E-10,1.42E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L23IT2,Basigin,A,B
351,EMB,15.49489938,1.440851313,0.241811266,5.958578086,2.54E-09,5.52E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip1,Basigin,C,B
352,EMB,26.81347001,0.869294947,0.224230765,3.876787144,0.000105845,0.003473452,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst2,Basigin,B,B
353,EMB,14.91327357,1.383627637,0.363184253,3.809712638,0.000139128,0.004915437,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip5,Basigin,C,B
354,EPHA3,108.5750132,-1.616962126,0.317309067,-5.095858568,3.47E-07,2.80E-05,TRUE,HARsv2_1886,HARsv2_1887,"HARsv2_1887,HARsv2_1886",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Chandelier1,EPH receptor,A,B
355,EPHA3,109.1092151,-3.250237281,0.538004414,-6.041283676,1.53E-09,1.95E-07,TRUE,HARsv2_1886,HARsv2_1887,"HARsv2_1887,HARsv2_1886",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,L6ITCar32,EPH receptor,B,B
356,EPHA3,63.87048146,-4.297442337,1.072880206,-4.005519267,6.19E-05,0.005200381,TRUE,HARsv2_1886,HARsv2_1887,"HARsv2_1887,HARsv2_1886",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst6,EPH receptor,B,B
